*Data are measured canopy height on 18 0.5 ha plots on a 5x5 m spacing
*Heights were measured with a measuring pole to 1500 cm using a clinometer to assess verticality
*Heights of exactly 1500 cm were scored as 1499 cm, canopy heights>1500 cm are coded 1500
*In 1999 9 plots were done, from 2000-2012 18 plots were censused
*See field protocol for details on exactly how measurements were made in the field
*Year,plot,Y_m,X_m,height_cm,Date,Comments
1999,A1,15,85,150,12-Jul-99,  Not done in 1999
1999,A1,20,10,150,12-Jul-99,  Not done in 1999
1999,A1,30,0,150,12-Jul-99,  Not done in 1999
1999,A1,20,100,507,12-Jul-99,  Not done in 1999
1999,A1,0,95,579,12-Jul-99,  Not done in 1999
1999,A1,35,45,695,12-Jul-99,  Not done in 1999
1999,A1,30,45,712,12-Jul-99,  Not done in 1999
1999,A1,20,65,788,12-Jul-99,  Not done in 1999
1999,A1,25,45,811,12-Jul-99,  Not done in 1999
1999,A1,30,100,835,12-Jul-99,  Not done in 1999
1999,A1,30,50,839,12-Jul-99,  Not done in 1999
1999,A1,40,15,954,14-Jul-99,  Not done in 1999
1999,A1,25,10,1018,12-Jul-99,  Not done in 1999
1999,A1,25,5,1029,12-Jul-99,  Not done in 1999
1999,A1,45,55,1051,14-Jul-99,  Not done in 1999
1999,A1,15,100,1073,12-Jul-99,  Not done in 1999
1999,A1,15,95,1074,12-Jul-99,  Not done in 1999
1999,A1,15,10,1326,12-Jul-99,  Not done in 1999
1999,A1,50,60,1400,14-Jul-99,  Not done in 1999
1999,A1,20,45,1401,12-Jul-99,  Not done in 1999
1999,A1,10,95,1454,12-Jul-99,  Not done in 1999
1999,A1,25,15,1463,12-Jul-99,  Not done in 1999
1999,A1,45,60,1477,14-Jul-99,  Not done in 1999
1999,A1,25,100,1486,12-Jul-99,  Not done in 1999
1999,A1,0,0,1500,12-Jul-99,  Not done in 1999
1999,A1,0,5,1500,12-Jul-99,  Not done in 1999
1999,A1,0,10,1500,12-Jul-99,  Not done in 1999
1999,A1,0,15,1500,12-Jul-99,  Not done in 1999
1999,A1,0,20,1500,12-Jul-99,  Not done in 1999
1999,A1,0,25,1500,12-Jul-99,  Not done in 1999
1999,A1,0,30,1500,12-Jul-99,  Not done in 1999
1999,A1,0,35,1500,12-Jul-99,  Not done in 1999
1999,A1,0,40,1500,12-Jul-99,  Not done in 1999
1999,A1,0,45,1500,12-Jul-99,  Not done in 1999
1999,A1,0,50,1500,12-Jul-99,  Not done in 1999
1999,A1,0,55,1500,12-Jul-99,  Not done in 1999
1999,A1,0,60,1500,12-Jul-99,  Not done in 1999
1999,A1,0,65,1500,12-Jul-99,  Not done in 1999
1999,A1,0,70,1500,12-Jul-99,  Not done in 1999
1999,A1,0,75,1500,12-Jul-99,  Not done in 1999
1999,A1,0,80,1500,12-Jul-99,  Not done in 1999
1999,A1,0,85,1500,12-Jul-99,  Not done in 1999
1999,A1,0,90,1500,12-Jul-99,  Not done in 1999
1999,A1,0,100,1500,12-Jul-99,  Not done in 1999
1999,A1,5,0,1500,12-Jul-99,  Not done in 1999
1999,A1,5,5,1500,12-Jul-99,  Not done in 1999
1999,A1,5,10,1500,12-Jul-99,  Not done in 1999
1999,A1,5,15,1500,12-Jul-99,  Not done in 1999
1999,A1,5,20,1500,12-Jul-99,  Not done in 1999
1999,A1,5,25,1500,12-Jul-99,  Not done in 1999
1999,A1,5,30,1500,12-Jul-99,  Not done in 1999
1999,A1,5,35,1500,12-Jul-99,  Not done in 1999
1999,A1,5,40,1500,12-Jul-99,  Not done in 1999
1999,A1,5,45,1500,12-Jul-99,  Not done in 1999
1999,A1,5,50,1500,12-Jul-99,  Not done in 1999
1999,A1,5,55,1500,12-Jul-99,  Not done in 1999
1999,A1,5,60,1500,12-Jul-99,  Not done in 1999
1999,A1,5,65,1500,12-Jul-99,  Not done in 1999
1999,A1,5,70,1500,12-Jul-99,  Not done in 1999
1999,A1,5,75,1500,12-Jul-99,  Not done in 1999
1999,A1,5,80,1500,12-Jul-99,  Not done in 1999
1999,A1,5,85,1500,12-Jul-99,  Not done in 1999
1999,A1,5,90,1500,12-Jul-99,  Not done in 1999
1999,A1,5,95,1500,12-Jul-99,  Not done in 1999
1999,A1,5,100,1500,12-Jul-99,  Not done in 1999
1999,A1,10,0,1500,12-Jul-99,  Not done in 1999
1999,A1,10,5,1500,12-Jul-99,  Not done in 1999
1999,A1,10,10,1500,12-Jul-99,  Not done in 1999
1999,A1,10,15,1500,12-Jul-99,  Not done in 1999
1999,A1,10,20,1500,12-Jul-99,  Not done in 1999
1999,A1,10,25,1500,12-Jul-99,  Not done in 1999
1999,A1,10,30,1500,12-Jul-99,  Not done in 1999
1999,A1,10,35,1500,12-Jul-99,  Not done in 1999
1999,A1,10,40,1500,12-Jul-99,  Not done in 1999
1999,A1,10,45,1500,12-Jul-99,  Not done in 1999
1999,A1,10,50,1500,12-Jul-99,  Not done in 1999
1999,A1,10,55,1500,12-Jul-99,  Not done in 1999
1999,A1,10,60,1500,12-Jul-99,  Not done in 1999
1999,A1,10,65,1500,12-Jul-99,  Not done in 1999
1999,A1,10,70,1500,12-Jul-99,  Not done in 1999
1999,A1,10,75,1500,12-Jul-99,  Not done in 1999
1999,A1,10,80,1500,12-Jul-99,  Not done in 1999
1999,A1,10,85,1500,12-Jul-99,  Not done in 1999
1999,A1,10,90,1500,12-Jul-99,  Not done in 1999
1999,A1,10,100,1500,12-Jul-99,  Not done in 1999
1999,A1,15,0,1500,12-Jul-99,  Not done in 1999
1999,A1,15,5,1500,12-Jul-99,  Not done in 1999
1999,A1,15,15,1500,12-Jul-99,  Not done in 1999
1999,A1,15,20,1500,12-Jul-99,  Not done in 1999
1999,A1,15,25,1500,12-Jul-99,  Not done in 1999
1999,A1,15,30,1500,12-Jul-99,  Not done in 1999
1999,A1,15,35,1500,12-Jul-99,  Not done in 1999
1999,A1,15,40,1500,12-Jul-99,  Not done in 1999
1999,A1,15,45,1500,12-Jul-99,  Not done in 1999
1999,A1,15,50,1500,12-Jul-99,  Not done in 1999
1999,A1,15,55,1500,12-Jul-99,  Not done in 1999
1999,A1,15,60,1500,12-Jul-99,  Not done in 1999
1999,A1,15,65,1500,12-Jul-99,  Not done in 1999
1999,A1,15,70,1500,12-Jul-99,  Not done in 1999
1999,A1,15,75,1500,12-Jul-99,  Not done in 1999
1999,A1,15,80,1500,12-Jul-99,  Not done in 1999
1999,A1,15,90,1500,12-Jul-99,  Not done in 1999
1999,A1,20,0,1500,12-Jul-99,  Not done in 1999
1999,A1,20,5,1500,12-Jul-99,  Not done in 1999
1999,A1,20,15,1500,12-Jul-99,  Not done in 1999
1999,A1,20,20,1500,12-Jul-99,  Not done in 1999
1999,A1,20,25,1500,12-Jul-99,  Not done in 1999
1999,A1,20,30,1500,12-Jul-99,  Not done in 1999
1999,A1,20,35,1500,12-Jul-99,  Not done in 1999
1999,A1,20,40,1500,12-Jul-99,  Not done in 1999
1999,A1,20,50,1500,12-Jul-99,  Not done in 1999
1999,A1,20,55,1500,12-Jul-99,  Not done in 1999
1999,A1,20,60,1500,12-Jul-99,  Not done in 1999
1999,A1,20,70,1500,12-Jul-99,  Not done in 1999
1999,A1,20,75,1500,12-Jul-99,  Not done in 1999
1999,A1,20,80,1500,12-Jul-99,  Not done in 1999
1999,A1,20,85,1500,12-Jul-99,  Not done in 1999
1999,A1,20,90,1500,12-Jul-99,  Not done in 1999
1999,A1,20,95,1500,12-Jul-99,  Not done in 1999
1999,A1,25,0,1500,12-Jul-99,  Not done in 1999
1999,A1,25,20,1500,12-Jul-99,  Not done in 1999
1999,A1,25,25,1500,12-Jul-99,  Not done in 1999
1999,A1,25,30,1500,12-Jul-99,  Not done in 1999
